Day,Exercise,Sets,Min_Reps,Max_Reps,Weight,Rest_Seconds
Day 1,Wall Handstand Holds,3,30,45,0,180
Day 1,Barbell Bench Press,3,4,6,155,180
Day 1,Weighted Pull-Ups,4,4,6,36,180
Day 1,Barbell Overhead Press,4,4,6,105,180
Day 1,Barbell Rows,3,8,10,165,180
Day 1,Ring Dips,3,8,10,0,180
Day 2,Barbell Back Squats,4,4,6,175,180
Day 2,Assisted Pistol Squats,3,5,8,0,90
Day 2,Nordic Curl Negatives,3,3,5,0,90
Day 2,Romanian Deadlift (RDL),3,8,10,0,120
Day 2,Calf Raises,3,15,20,0,60
Day 3,Flagpole Progressions,4,5,10,0,90
Day 3,Side Planks,3,45,60,0,90
Day 3,Single Arm Cable Pull-down,3,10,10,20,90
Day 3,Hanging Leg Raises,3,10,15,0,90
Day 4,Explosive High Pull-Ups,4,3,5,0,180
Day 4,Front Lever Hold Progressions,4,10,15,0,120
Day 4,Parallette Planche Leans,4,10,15,0,120
Day 4,Handstand Push-ups,3,6,8,0,120
Day 4,Pseudo Planche Push-ups,3,6,8,0,120
Day 4,Dumbbell Bicep Curls,3,12,15,20,90
Day 5,Barbell Deadlift,3,3,5,215,180
Day 5,Bulgarian Split Squats,3,8,10,45,120
Day 5,Skin The Cat,3,6,8,0,90
Day 5,Barbell Front Squats,3,6,8,0,120
Day 5,Ab Wheel Rollouts,3,12,15,0,90
